hei_score,risk_class,risk_code,pop_raw,ndvi_raw,lulc_class,urban_class,lst_norm,pop_norm,ndvi_inv_norm,lulc_weight,color_hex
0.3692,Moderate Risk,3,1.038436770439148,0.109354,Bare Land,Peri-Urban / Sparse,0.3541,0.002367,0.7840,0.70,#FFAA00
0.3683,Moderate Risk,3,1.0511749982833862,0.110097,Bare Land,Peri-Urban / Sparse,0.3541,0.002396,0.7797,0.70,#FFAA00
0.3673,Moderate Risk,3,1.0641521215438843,0.110958,Bare Land,Peri-Urban / Sparse,0.3541,0.002425,0.7747,0.70,#FFAA00
0.3662,Moderate Risk,3,1.0779465436935425,0.111877,Bare Land,Peri-Urban / Sparse,0.3541,0.002457,0.7693,0.70,#FFAA00
0.3653,Moderate Risk,3,1.0964889526367188,0.112657,Bare Land,Peri-Urban / Sparse,0.3541,0.002499,0.7648,0.70,#FFAA00
0.3641,Moderate Risk,3,1.1166106462478638,0.113773,Bare Land,Peri-Urban / Sparse,0.3541,0.002545,0.7583,0.70,#FFAA00
0.3643,Moderate Risk,3,1.130211353302002,0.113566,Bare Land,Peri-Urban / Sparse,0.3541,0.002576,0.7595,0.70,#FFAA00
0.3756,Moderate Risk,3,1.1045855283737183,0.103910,Bare Land,Peri-Urban / Sparse,0.3541,0.002518,0.8158,0.70,#FFAA00
0.3746,Moderate Risk,3,1.0983787775039673,0.104751,Bare Land,Peri-Urban / Sparse,0.3541,0.002503,0.8109,0.70,#FFAA00
0.3738,Moderate Risk,3,1.0932331085205078,0.105356,Bare Land,Peri-Urban / Sparse,0.3541,0.002492,0.8073,0.70,#FFAA00
0.3734,Moderate Risk,3,1.089617133140564,0.105723,Bare Land,Peri-Urban / Sparse,0.3541,0.002484,0.8052,0.70,#FFAA00
0.3747,Moderate Risk,3,1.0739367008209229,0.104653,Bare Land,Peri-Urban / Sparse,0.3541,0.002448,0.8114,0.70,#FFAA00
0.3746,Moderate Risk,3,1.0575909614562988,0.104659,Bare Land,Peri-Urban / Sparse,0.3541,0.002411,0.8114,0.70,#FFAA00
0.3746,Moderate Risk,3,1.0527178049087524,0.104684,Bare Land,Peri-Urban / Sparse,0.3541,0.002399,0.8112,0.70,#FFAA00
0.3745,Moderate Risk,3,1.048357605934143,0.104782,Bare Land,Peri-Urban / Sparse,0.3541,0.002389,0.8107,0.70,#FFAA00
0.3757,Moderate Risk,3,1.048263430595398,0.103737,Bare Land,Peri-Urban / Sparse,0.3541,0.002389,0.8168,0.70,#FFAA00
